Dialogue,Emotions
Oh hey Ross oh I'm so glad someone's here could  you zip me up?,"Happiness, Excitement"
sure.,"Contentment, Confidence, Neutral"
Thank you. Can you believe no-one between my apartment  and here offered to do that for me?,"Surprise, Frustration"
"people (shakes head, they sit) so why you all dressed  up.","Neutral, Confusion, Frustration"
oh umm Mike's picking me up for a date.,"Happiness, Excitement, Anticipation"
"oh yea now um how is that going, is it getting serious?","Happiness, Excitement, Anticipation"
"oh I dunno I dunno, you know I mean I like him but  am I ready to take my grade a loins off the meat market.","Confusion, Frustration"
"you know I really admire your whole dating attitude,  it's so healthy I'm always like is this moving to fast? Is this moving to slow?  Where's this going?","Happiness, Contentment, Confusion"
yea you know you are a bit of a drama queen.,"Contentment, Disgust, Frustration"
"but you, your so much better off you just go from  guy to guy having fun and never worrying that it terns into anything serious.","Sadness, Frustration"
"I wouldn't say never, you know there's that guy  (pause) well what about (pause) ok well there's gotta be someone.","Neutral, Confusion, Frustration"
There isn't that's what I'm saying. (All happy),"Happiness, Contentment, Confidence"
Oh my god you're right.,Surprise
I know and yet here you are all ready for the next  date.,"Happiness, Contentment, Love"
"I can't believe I never realized this before, I'm  in my thirty's and never been in a long-term relationship oh my god (starts  crying) what's wrong with me.","Sadness, Confusion, Frustration"
"no, no, no there's nothing wrong with you I mean you  don't strike me as the type of person that wants to get married anyway.","Neutral, Confusion, Frustration"
I wanna get married (grabs a tissue),"Happiness, Love, Excitement"
"please don't cry because of me pheebs I don't know  what I'm talking about, I've been divorced three times.","Sadness, Confusion, Frustration"
"least you've been married, OH MY GOD! I wanna trade  lives with Ross (cries more)","Sadness, Frustration, Longing"
Phoebe (comes in smiling then sees Phoebe crying)  what's wrong?,"Sadness, Confusion"
"nothing, I'm excited about our date, Mike this is  Ross Geller this is Mike Haaaaa (starts crying)","Sadness, Surprise, Excitement"
I'm sorry I didn't catch.,"Neutral, Confusion, Frustration"
its Mike Hanagen,"Confidence, Neutral, Excitement"
Oh Ross Geller,"Surprise, Disgust, Frustration"
"Hey, so are you sure your ready to go.","Confidence, Neutral, Excitement"
uh huh (terns to Ross) how do I look (all her make  up has gone everywhere),"Surprise, Frustration"
do you have a compact in your purse?,"Contentment, Confidence, Neutral"
